IATA,Terminal
AJW,Alpha Jet International
AJX,Air Japan
AJY,Ajet
AKA,Air Korea Co. Ltd.
LIV,Air Livonia
ABL,Air BC
ABN,Air Fret Senegal
LJA,Air Jamahiriya Company
AKB,Aktjubavia
AKC,Arca Aerovias Colombianas Ltda.
AKF,Anikay Air Company
AKH,Akhal
MNI,Aeromilenio
AKK,Aklak Air
AKL,Air Kiribati
AKN,Alkan Air
AKW,Angkor Airways
AKX,Air Nippon Network Co. Ltd.
AKZ,AK Navigator LLC
ALB,Aero Albatros
ALD,Albion Aviation
ALE,Aeroalas Colombia
ALF,Allied Command Europe (Mobile Force)
BTS,Aerotaxis Albatros
FYS,American Flyers
DFA,Aero Coach Aviation
CAA,Atlantic Southeast Airlines
BVR,ACM Air Charter
ALG,Air Logistics
ALL,Aerovallarta
ALM,Air ALM
ALN,Air Lincoln
AWE,America West Airlines
AWI,Air Wisconsin
TNO,Aerotransporte de Carga Union
TND,Aero Taxis Cessna
TMP,Arizona Express Airlines
TAK,Tatarstan Airlines
ALO,Allegheny Commuter Airlines
ALP,Alpliner AG
ALQ,Altair Aviation (1986)
ALU,Air Luxor STP
ALV,Alas de Venezuela
ALW,Alas Nacionales
ALY,Alyeska Air Service
ALZ,Alta Flights (Charters) Ltd.
RSI,Air Sunshine
AMA,ATMA
AMD,Aerolineas Medellin
AMF,Ameriflight
,Air Libert
KLA,Air Lithuania
AMG,Air Minas Linhas A
AMH,Alan Mann Helicopters Ltd.
AMI,Air Maldives
AMJ,Aviation Amos
AMK,Amerer Air
AML,Air Malawi
AMM,Aeroputul International Marculesti
AMN,Air Montenegro
AMO,Air Montreal (Air Holdings Inc.)
AMP,Aero Transporte S.A. (ATSA)
AMQ,Aeromedicare Ltd.
,Air Sicilia
AMR,Air Specialties Corporation
AMS,Air Muskoka
AMT,ATA Airlines
AMU,Air Macau
AMV,AMC Airlines
AMW,Air Midwest
SEY,Air Seychelles
SFB,Air Sofia
AMX,AeroMéxico
AMY,Air Ambar
AMZ,Amiya Airline
ANA,All Nippon Airways
ANB,Air Navigation And Trading Co. Ltd.
ANC,Anglo Cargo
ANE,Air Nostrum
ANG,Air Niugini
ABY,Air Arabia
ACA,Air Canada
BRP,Airport Bratsk
BSB,Air Wings
BTI,Air Baltic
ANH,Alajnihah for Air Transport
ANI,Air Atlantic (Nig) Limited
ANK,Air Nippon
ANM,Antares Airtransport
ANO,Airnorth
ANQ,Aerol
ANS,Andes Lineas Aereas
ANT,Air North Charter - Canada
ANV,Air Nevada
AOM,AOM French Airlines
ANW,Aviacion Del Noroeste
ANZ,Air New Zealand
SAP,Avia Jaynar
EMS,Aero Servicios Empresariales
AOA,Alcon Servicios Aereos
AOC,AVCOM
AOD,Aero Vodochody
AOE,Air One Executive
AOF,Atair Pty Ltd.
AOG,Aero VIP
MUN,Aeromundo Ejecutivo
MUR,Aerolinea Muri
AOI,Astoria
NRO,Aero Rent JSC
NRP,Aeronord-Grup
AOK,Aeroatlantico Colombia
AOL,Angkor Airlines
AON,Aero Entreprise
AOO,As
AOP,Aeropiloto
VIV,Aeroenlaces Nacionales
VIZ,Aerovis Airlines
VJE,Avjet International (FZE)
VGF,Aerovista Gulf Express
VGA,Air Vegas
VER,Almaver
AOR,Afro International Ent. Limited
SMX,Alitalia Express
AOT,Asia Overnight Express
AOU,Air Tractor
AOV,Aero Vision
AOX,Aerotaxi Del Valle
APA,Air Park Aviation Ltd.
APC,Airpac Airlines
SVM,Aeroservicios Monterrey
APF,Amapola Flyg AB
APG,Air People International
APH,Alpha Aviation
API,ASA Pesada
APJ,Air Print
BJK,Atlantic Airlines
PET,Aerotransporte Petrolero
ARF,Aero Flight
BJT,ACM Aviation
BKL,Aircompany Barcol
BLA,All Charter Limited
APL,Appalachian Flying Service
APM,Airpac
APO,Aeropro
APP,Aerolineas Pacifico Atlantico
APQ,Aspen Aviation
APU,Aeropuma
APV,Air Plan International
APW,Arrow Air
APX,Apex Air Cargo
APY,APA Internacional
